Operation (OP) Name,Nom de l'op�ration (OP),International Operation Name,Nom de l'op�ration internationale,Description,Description,Location,Emplacement,Start Date/date de d�but,End Date/date de fin
OP ARGONAUT,OP ARGONAUT,N/A,N/A,Disaster Response - Accommodation Assistance for the Homeless,L'intervention d'urgence - L'aide au logement pour des sans-abri,CANADA,CANADA,15/01/2004,12/02/2004
OP OPEN VIEW,OP OPEN VIEW,CHEMICAL WEAPONS CONVENTION (CWC),CONVENTION SUR LES ARMES CHIMIQUE (CWC),Observation - Chemical Weapons Convention (CWC) Obligations,La surveillance - Obligations de la Convention sur les armes chimiques (CWC),ACCROSS EUROPE AND NORTH AMERICA,� TRAVERS EUROPE AND L'AM�RIQUE DU NORD,29/04/1997,Ongoing/En Cours
OP AUGURAL,OP AUGURAL,AFRICAN UNION MISSION IN SUDAN (AMIS),MISSION DE L'UNION AFRICAINE AU SOUDAN (MUAS),Military contribution to the African Union Mission in Sudan (AMIS),Contribution militaire � la Mission de l'Union africaine au Soudan (AMIS),"ADDIS ABABA, ETHIOPIA","ADDIS ABABA, ETHIOPIA",01/09/2004,15/12/2007
OP ACCIUS,OP ACCIUS,UN ASSISTANCE MISSION IN AFGHANISTAN (UNAMA),MISSION D'ASSISTANCE DES NU EN AFGHANISTAN (MANUA),"Military Advisor to UNAMA, Afghanistan","Conseiller militaire du MANUA, Afghanistan",AFGHANISTAN,AFGHANISTAN,28/03/2002,30/06/2005
OP ADDENDA,OP ADDENDA,N/A,N/A,Security - Embassy in Afghanistan,La s�curit� -  L'ambassade canadienne,AFGHANISTAN,AFGHANISTAN,01/04/2014,Ongoing/En Cours
OP ADJACENT,OP ADJACENT,OP ATHENA,OP ATHENA,Support - Airlift in Op ATHENA,Le soutien - Le transport a�rien pour OP Athena,AFGHANISTAN,AFGHANISTAN,03/10/2010,12/12/2011
OP ALETA,OP ALETA,OP ATTENTION,OP ATTENTION,Support - Airlift in Op ATTENTION,Le soutien - Le transport a�rien pour Op Attention,AFGHANISTAN,AFGHANISTAN,08/06/2011,12/03/2014
OP APOLLO,OP APOLLO,ENDURING FREEDOM (USA),ENDURING FREEDOM (EUA),Canada's military contribution to the international campaign against terrorism,La participation militaire du Canada � la campagne internationale contre le terrorisme,AFGHANISTAN,AFGHANISTAN,11/09/2001,14/12/2003
OP ARCHER,OP ARCHER,OP ENDURING FREEDOM (OEF),OP�RATION ENDURING FREEDOM (OEF),Provincial Reconstruction Team in Kandahar,Les activit�s de reconstruction dans la r�gion de Kandahar,AFGHANISTAN,AFGHANISTAN,07/10/2001,31/08/2009
OP ARGUS,OP ARGUS,STRATEGIC ADVISORY TEAM AFGHANISTAN SAT-A,�QUIPE CONSULTATIVE STRAT�GIQUE AFGHANISTAN ECS-A,Afghanistan Government Advisory Staff in Kabul,Personnel consultatif du gouvernement de l'Afghanistan � Kaboul,AFGHANISTAN,AFGHANISTAN,15/08/2005,08/04/2006
OP ATHENA,OP ATHENA,INTERNATIONAL SECURITY ASSISTANCE FORCE (ISAF),FORCE INTERNATIONALE D'ASSISTANCE � LA S�CURIT� (FIAS),Security in and around Kabul,S�curit� � Kaboul et dans les environs,AFGHANISTAN,AFGHANISTAN,05/12/2001,Ongoing/En Cours
OP FOUNDATION,OP FOUNDATION,OPERATION ENDURING FREEDOM,OP�RATION ENDURING FREEDOM,Contribute to the elimination of the threat of terrorism,Contribuer � l��limination de la menace que pose le terrorisme,AFGHANISTAN,AFGHANISTAN,17/08/2003,Ongoing/En Cours
OP KEEPSAKE,OP KEEPSAKE,N/A,N/A,Repatriation of Mementos and Artifacts of CAF Mission in Afghanistan,Rapatriement de souvenirs et d'objets de la mission des FAC en Afghanistan,AFGHANISTAN,AFGHANISTAN,01/10/2010,20/11/2011
OP MERCEDES,OP MERCEDES,OP MERCEDES,OP MERCEDES,Delivery of Mercedes jeeps to Afghanistan,Livraison de jeeps Mercedes en Afghanistan,AFGHANISTAN,AFGHANISTAN,05/03/2004,15/09/2004
OP METRONOME,OP METRONOME,OP METRONOME,OP METRONOME,SFOR equipment repatriation,Rapatriement de l'�quipement de la FSEC,AFGHANISTAN,AFGHANISTAN,03/10/2002,31/10/2002
OFFICE OF SECRETARY-GENERAL IN AFGHANISTAN AND PAKISTAN (OSGAP),BUREAU DU S�CRETAIRE G�N�RAL EN AFGHANISTAN et  AU PAKISTAN (OSGAP),N/A,N/A,Implementation - Security Council�s resolutions regarding Afghanistan and UN Office for the Coordination of Humanitarian Assistance to Afghanistan (UNOCHA),Mise en �uvre - Les r�solutions du Conseil de s�curit� et Bureau des NU pour la coordination des affaires humanitaires (UNOCHA),AFGHANISTAN and PAKISTAN,AFGHANISTAN et PAKISTAN,15/03/1990,31/01/1995
OP OSGAP,OP OSGAP,OP OSGAP,OP OSGAP,Security - Office of the Secretary General in Afghanistan & Pakistan,La s�curit� - Bureau du Secr�taire g�n�ral en Afghanistan et au Pakistan,AFGHANISTAN and PAKISTAN,AFGHANISTAN et PAKISTAN,15/03/1990,31/01/1993
OP UNGOMAP,OP UNGOMAP,UNITED NATION GOOD OFFICES MISSION IN AFGHANISTAN AND PAKISTAN (UNGOMAP),MISSION DES BONS OFFICES DES NATIONS UNIES EN AFGHANISTAN ET AU PAKISTAN (UNGOMAP),Security - Representative of the Secretary-General,La s�curit� - Repr�sentant personnel du Secr�taire g�n�ral,AFGHANISTAN AND PAKISTAN,AFGANISTAN ET PAKISTAN,02/05/1988,15/03/1990
UN GOOD OFFICES MISSION IN AFGHANISTAN AND PAKISTAN,MISSION DE BONS OFFICES DES NU EN AFGHANISTAN ET AU PAKISTAN,UN GOOD OFFICES MISSION IN AFGHANISTAN AND PAKISTAN (UNGOMAP),MISSION DE BONS OFFICES DES NU EN AFGHANISTAN ET AU PAKISTAN (MBONUAP),Security - Representative of the Secretary-General,La s�curit� - Repr�sentant personnel du Secr�taire g�n�ral,AFGHANISTAN and PAKISTAN,AFGHANISTAN et PAKISTAN,15/05/1988,15/03/1990
OP ALLIED PROTECTOR,OP ALLIED PROTECTOR,OP ALLIED PROTECTOR,OP ALLIED PROTECTOR,NATO Anti-Piracy off Horn of Africa,OTAN anti-piratage au long de la Corne de l'Afrique,AFRICA,AFRIQUE,24/03/2009,29/06/2009
OP ARTISAN,OP ARTISAN,OP ARTISAN,OP ARTISAN,Disaster Response - Infrastructure Restoration in Albania,L'intervention d'urgence - R�tablissement des infrastructure en Albanie,ALBANIA,ALBANIE,01/08/2000,14/11/2001
